update,mean_fitness,min_fitness,max_fitness,inferiority
392,203.968,25,208,0.980615
393,204.623,21,208,0.983764
394,203.958,16,208,0.980567
395,203.946,16,208,0.98051
396,203.585,22,208,0.978774
397,204.104,16,208,0.981269
398,204.625,26,208,0.983774
399,203.783,18,208,0.979726
400,203.403,16,208,0.977899
401,203.661,24,208,0.979139
402,204.552,128,208,0.983423
403,203.352,18,208,0.977654
404,204.157,25,208,0.981524
405,203.567,19,208,0.978688
406,203.921,18,208,0.980389
407,204.584,18,208,0.983577
408,203.55,18,208,0.978606
409,204.123,17,208,0.981361
410,203.549,16,208,0.978601
411,203.537,16,208,0.978543
412,203.854,18,208,0.980067
413,203.452,11,208,0.978135
414,202.699,16,208,0.974514
415,203.477,16,208,0.978255
416,203.955,16,208,0.980553
417,204.304,24,208,0.982231
418,203.585,17,208,0.978774
419,203.667,21,208,0.979168
420,204.529,30,208,0.983313
421,202.516,16,208,0.973635
422,203.472,25,208,0.978231
423,202.967,15,208,0.975803
424,204.337,23,208,0.982389
425,203.589,18,208,0.978793
426,203.915,16,208,0.980361
427,203.519,18,208,0.978457
428,203.528,15,208,0.9785
429,204.104,18,208,0.981269
430,203.633,19,208,0.979005
431,204.313,23,208,0.982274
432,203.646,23,208,0.979067
433,203.68,16,208,0.979231
434,203.743,24,208,0.979534
435,203.246,16,208,0.977144
436,203.666,16,208,0.979163
437,203.584,16,208,0.978769
438,203.56,16,208,0.978654
439,204.02,27,208,0.980865
440,204.017,16,208,0.980851
441,203.569,20,208,0.978697
442,204.593,19,208,0.98362
443,203.271,19,208,0.977264
444,204.945,144,208,0.985313
445,204.124,16,208,0.981365
446,204.066,16,208,0.981087
447,203.277,16,208,0.977293
448,203.934,16,208,0.980452
449,204.331,128,208,0.982361
450,204.089,23,208,0.981197
451,204.447,23,208,0.982918
452,203.99,22,208,0.980721
453,204.339,16,208,0.982399
454,203.666,16,208,0.979163
455,203.425,16,208,0.978005
456,203.545,20,208,0.978582
457,203.992,16,208,0.980731
458,203.837,17,208,0.979986
459,204.179,27,208,0.98163
460,203.743,16,208,0.979534
461,203.43,16,208,0.978029
462,203.819,19,208,0.979899
463,204.633,144,208,0.983812
464,203.92,16,208,0.980385
465,203.822,21,208,0.979913
466,204.28,26,208,0.982115
467,203.968,24,208,0.980615
468,204.056,116,208,0.981038
469,203.828,23,208,0.979942
470,204.412,16,208,0.98275
471,203.93,24,208,0.980433
472,204.414,20,208,0.98276
473,204.257,60,208,0.982005
474,203.044,16,208,0.976173
475,203.268,18,208,0.97725
476,203.776,22,208,0.979692
477,203.653,19,208,0.979101
478,203.969,26,208,0.98062
479,204.053,16,208,0.981024
480,203.472,2,208,0.978231
481,204.035,131,208,0.980938
482,203.754,19,208,0.979587
483,203.959,18,208,0.980572
484,203.728,18,208,0.979462
485,203.617,16,208,0.978928
486,203.673,18,208,0.979197
487,203.442,18,208,0.978087
488,203.891,17,208,0.980245
489,202.835,16,208,0.975168
490,203.448,21,208,0.978115
491,204.13,27,208,0.981394
492,204.186,26,208,0.981663
493,203.109,16,208,0.976486
494,204.054,27,208,0.981029
495,203.455,16,208,0.978149
496,203.057,18,208,0.976236
497,203.584,18,208,0.978769
498,203.324,24,208,0.977519
499,203.779,25,208,0.979707
500,203.944,24,208,0.9805
501,204.398,28,208,0.982683
502,203.34,19,208,0.977596
503,203.808,16,208,0.979846
504,202.897,16,208,0.975466
505,203.207,16,208,0.976957
506,203.777,25,208,0.979697
507,203.61,18,208,0.978894
508,203.338,24,208,0.977587
509,203.603,18,208,0.978861
510,204.099,22,208,0.981245
511,202.708,16,208,0.974558
512,203.317,16,208,0.977486
513,202.995,21,208,0.975938
514,203.656,22,208,0.979115
515,204.868,22,208,0.984942
516,203.729,17,208,0.979466
517,203.544,9,208,0.978577
518,203.399,19,208,0.97788
519,202.685,16,208,0.974447
520,203.258,16,208,0.977202
521,203.796,18,208,0.979788
522,203.722,21,208,0.979433
523,204.203,17,208,0.981745
524,204.532,16,208,0.983327
525,204.164,26,208,0.981558
526,203.323,16,208,0.977514
527,203.576,16,208,0.978731
528,203.302,16,208,0.977413
529,203.947,22,208,0.980514
530,203.828,19,208,0.979942
531,204.874,18,208,0.984971
532,204.182,22,208,0.981644
533,204.596,25,208,0.983635
534,204.417,113,208,0.982774
535,203.862,20,208,0.980106
536,204.103,16,208,0.981264
537,203.83,21,208,0.979952
538,203.755,19,208,0.979591
539,204.768,19,208,0.984462
540,203.387,16,208,0.977822
541,204.862,26,208,0.984913
542,202.998,16,208,0.975952
543,204.269,23,208,0.982062
544,203.254,16,208,0.977183
545,204.432,25,208,0.982846
546,204.089,96,208,0.981197
547,203.453,18,208,0.978139
548,204.398,18,208,0.982683
549,204.257,21,208,0.982005
550,203.892,21,208,0.98025
551,203.953,10,208,0.980543
552,204.252,27,208,0.981981
553,203.718,16,208,0.979413
554,203.897,24,208,0.980274
555,203.637,17,208,0.979024
556,203.631,16,208,0.978995
557,203.501,12,208,0.97837
558,204.631,18,208,0.983803
559,203.118,16,208,0.976529
560,203.593,20,208,0.978812
