update,mean_fitness,min_fitness,max_fitness,inferiority
417,188.588,18,192,0.982229
418,188.571,14,192,0.982141
419,188.724,26,192,0.982938
420,188.496,19,192,0.98175
421,187.563,16,192,0.976891
422,188.6,18,192,0.982292
423,187.622,16,192,0.977198
424,189.025,17,192,0.984505
425,188.324,18,192,0.980854
426,188.485,19,192,0.981693
427,188.723,21,192,0.982932
428,188.099,15,192,0.979682
429,188.697,16,192,0.982797
430,188.175,16,192,0.980078
431,188.056,16,192,0.979458
432,188.099,15,192,0.979682
433,188.476,17,192,0.981646
434,188.573,112,192,0.982151
435,188.377,10,192,0.98113
436,188.474,16,192,0.981635
437,187.755,14,192,0.977891
438,187.933,16,192,0.978818
439,188.565,16,192,0.982109
440,188.4,19,192,0.98125
441,188.775,16,192,0.983203
442,188.5,16,192,0.981771
443,188.696,16,192,0.982792
444,188.916,21,192,0.983938
445,188.247,18,192,0.980453
446,188.897,16,192,0.983839
447,188.46,16,192,0.981563
448,187.824,14,192,0.97825
449,187.966,16,192,0.97899
450,188.364,17,192,0.981062
451,188.272,23,192,0.980583
452,188.605,80,192,0.982318
453,188.83,16,192,0.98349
454,188.868,20,192,0.983688
455,188.846,16,192,0.983573
456,187.912,16,192,0.978708
457,188.58,17,192,0.982187
458,188.686,23,192,0.98274
459,188.802,42,192,0.983344
460,188.831,16,192,0.983495
461,188.112,16,192,0.97975
462,188.831,20,192,0.983495
463,188.33,17,192,0.980885
464,188.677,16,192,0.982693
465,188.501,16,192,0.981776
466,188.946,18,192,0.984094
467,188.922,16,192,0.983969
468,188.936,14,192,0.984042
469,189.08,20,192,0.984792
470,188.72,16,192,0.982917
471,188.425,16,192,0.98138
472,189.119,23,192,0.984995
473,188.615,20,192,0.98237
474,188.324,17,192,0.980854
475,188.513,16,192,0.981839
476,187.446,15,192,0.976281
477,189.58,100,192,0.987396
478,188.288,20,192,0.980667
479,188.335,16,192,0.980911
480,188.698,16,192,0.982802
481,189.195,18,208,0.909591
482,188.237,16,208,0.904986
483,188.751,16,208,0.907457
484,188.043,15,208,0.904053
485,189.927,16,208,0.913111
486,192.927,95,208,0.927534
487,198.9,23,208,0.95625
488,203.639,14,208,0.979034
489,204.462,23,208,0.98299
490,204.689,16,208,0.984082
491,203.662,13,208,0.979144
492,204.478,17,208,0.983067
493,203.94,16,208,0.980481
494,203.914,17,208,0.980356
495,203.931,19,208,0.980437
496,205.261,144,208,0.986832
497,204.26,16,208,0.982019
498,203.654,15,208,0.979106
499,204.307,21,208,0.982245
500,204.356,16,208,0.982481
501,203.94,16,208,0.980481
502,204.022,24,208,0.980875
503,204.227,16,208,0.981861
504,202.872,15,208,0.975346
505,203.791,16,208,0.979764
506,204.491,19,208,0.98313
507,204.185,16,208,0.981659
508,204.509,18,208,0.983216
509,204.402,27,208,0.982702
510,204.245,17,208,0.981947
511,204.39,21,208,0.982644
512,204.308,17,208,0.98225
513,203.282,16,208,0.977317
514,204.136,22,208,0.981423
515,204.106,17,208,0.981279
516,203.899,16,208,0.980284
517,204.629,12,208,0.983793
518,203.898,16,208,0.980279
519,204.049,16,208,0.981005
520,204.454,25,208,0.982952
521,204.598,18,208,0.983644
522,204.977,160,208,0.985466
523,203.617,16,208,0.978928
524,203.831,16,208,0.979957
525,204.56,23,208,0.983462
526,203.967,18,208,0.980611
527,204.267,120,208,0.982053
528,204.04,16,208,0.980962
529,204.314,19,208,0.982279
530,204.102,15,208,0.98126
531,204.695,86,208,0.984111
532,204.585,16,208,0.983582
533,204.349,15,208,0.982447
534,204.287,15,208,0.982149
535,204.208,21,208,0.981769
536,203.871,17,208,0.980149
537,204.701,16,208,0.984139
538,203.184,16,208,0.976846
539,204.072,18,208,0.981115
540,203.229,16,208,0.977062
541,203.59,16,208,0.978798
542,203.504,9,208,0.978385
543,204.708,16,208,0.984173
544,204.823,16,208,0.984726
545,204.05,22,208,0.98101
546,204.817,13,208,0.984697
547,203.301,16,208,0.977409
548,202.852,13,208,0.97525
549,204.018,18,208,0.980856
550,203.835,16,208,0.979976
551,203.914,17,208,0.980356
552,204.186,23,208,0.981663
553,204.664,19,208,0.983962
554,203.793,15,208,0.979774
555,204.104,16,208,0.981269
556,204.183,17,208,0.981649
557,204.598,23,208,0.983644
558,204.409,20,208,0.982736
559,203.526,11,208,0.97849
560,204.216,16,208,0.981808
561,203.189,14,208,0.97687
562,203.838,16,208,0.97999
563,204.845,27,208,0.984832
564,204.01,16,208,0.980817
565,204.259,16,208,0.982014
566,204.398,14,208,0.982683
567,204.147,17,208,0.981476
568,203.839,18,208,0.979995
569,204.45,16,208,0.982933
570,203.963,17,208,0.980591
571,203.459,15,208,0.978168
572,204.035,16,208,0.980938
573,204.654,13,208,0.983913
574,204.741,26,208,0.984332
575,203.92,17,208,0.980385
576,203.809,12,208,0.979851
577,204.859,27,208,0.984899
578,204.295,17,208,0.982187
579,203.432,11,208,0.978038
580,204.508,16,208,0.983212
581,204.022,17,208,0.980875
582,204.118,17,208,0.981337
583,204.272,15,208,0.982077
584,203.862,19,208,0.980106
585,205.03,109,208,0.985721
586,203.851,16,208,0.980053
587,203.952,17,208,0.980538
588,204.264,14,208,0.982038
589,203.768,17,208,0.979654
590,203.756,16,208,0.979596
591,204.9,19,208,0.985096
592,203.556,16,208,0.978635
593,203.507,16,208,0.978399
594,203.4,23,208,0.977885
595,205.023,109,208,0.985688
596,204.288,12,208,0.982154
597,203.975,16,208,0.980649
598,204.349,19,208,0.982447
599,204.774,23,208,0.98449
600,204.161,17,208,0.981543
601,203.999,17,208,0.980764
602,204.413,15,208,0.982755
603,204.255,16,208,0.981995
604,204.538,15,208,0.983356
605,203.937,19,208,0.980466
606,204.724,20,208,0.98425
607,204.406,15,208,0.982721
608,202.54,16,208,0.97375
609,204.363,19,208,0.982514
610,204.397,14,208,0.982678
611,203.995,18,208,0.980745
612,202.346,20,208,0.972817
613,203.528,16,208,0.9785
614,204.489,16,208,0.98312
615,204.119,16,208,0.981341
616,203.378,14,208,0.977779
617,204.283,16,208,0.98213
618,203.684,17,208,0.97925
619,202.929,13,208,0.97562
620,204.315,26,208,0.982284
621,204.798,23,208,0.984606
622,203.8,15,208,0.979808
623,204.002,16,208,0.980779
624,204.021,16,208,0.98087
625,203.861,16,208,0.980101
626,202.745,17,208,0.974736
627,204.776,16,208,0.9845
628,203.694,17,208,0.979298
629,204.257,16,208,0.982005
630,204.609,15,208,0.983697
631,204,16,208,0.980769
632,204.288,17,208,0.982154
633,204.782,19,208,0.984529
634,203.598,22,208,0.978837
635,204.191,17,208,0.981688
636,204.232,17,208,0.981885
637,204.68,24,208,0.984038
638,204.203,20,208,0.981745
639,204.982,21,208,0.98549
640,204.228,16,208,0.981865
641,204.633,19,208,0.983812
642,204.181,17,208,0.981639
643,203.993,14,208,0.980736
644,204.537,21,208,0.983351
645,203.808,21,208,0.979846
646,204.909,22,208,0.985139
647,204.445,19,208,0.982909
648,204.732,18,208,0.984288
649,204.136,16,208,0.981423
650,203.003,18,208,0.975976
651,203.244,18,208,0.977135
652,204.855,21,208,0.98488
653,203.999,16,208,0.980764
654,203.049,16,208,0.976197
655,204.402,20,208,0.982702
656,203.424,17,208,0.978
657,204.427,19,208,0.982822
658,204.377,16,208,0.982582
659,204.427,15,208,0.982822
660,204.315,23,208,0.982284
661,203.709,18,208,0.97937
662,204.053,16,208,0.981024
663,204.653,16,208,0.983909
664,204.574,24,208,0.983529
665,204.244,17,208,0.981942
666,204.217,16,208,0.981812
667,204.07,16,208,0.981106
668,204.508,15,208,0.983212
669,204.512,19,208,0.983231
670,204.916,24,208,0.985173
671,203.545,16,208,0.978582
672,204.618,19,208,0.98374
673,204.012,23,208,0.980827
674,204.339,13,208,0.982399
675,204.671,18,208,0.983995
676,204.131,17,208,0.981399
677,204.118,16,208,0.981337
678,204.473,17,208,0.983043
679,203.856,16,208,0.980077
680,204.232,14,208,0.981885
681,203.979,16,208,0.980668
682,204.084,13,208,0.981173
683,204.277,16,208,0.982101
684,204.98,16,208,0.985481
685,204.03,16,208,0.980913
686,203.759,19,208,0.979611
687,204.389,18,208,0.982639
688,204.191,18,208,0.981688
689,204.649,14,208,0.983889
690,204.252,16,208,0.981981
691,203.643,18,208,0.979053
692,204.795,16,208,0.984591
693,203.505,12,208,0.978389
694,204.494,18,208,0.983144
695,203.91,16,208,0.980337
696,203.488,13,208,0.978308
697,203.884,24,208,0.980212
698,204.313,22,208,0.982274
699,203.759,16,208,0.979611
700,204.525,116,208,0.983293
701,204.803,22,208,0.98463
702,204.262,17,208,0.982029
703,203.727,15,208,0.979457
704,203.867,18,208,0.98013
705,203.76,16,208,0.979615
706,204.368,17,208,0.982538
707,204.945,24,208,0.985313
708,204.114,16,208,0.981317
709,204.517,16,208,0.983255
710,203.274,18,208,0.977279
711,203.863,16,208,0.980111
712,204.607,13,208,0.983688
713,204.584,22,208,0.983577
714,203.535,16,208,0.978534
715,204.658,17,208,0.983933
716,204.305,20,208,0.982236
717,204.7,26,208,0.984135
718,204.594,15,208,0.983625
719,204.903,16,208,0.985111
720,204.785,24,208,0.984543
721,203.87,17,208,0.980144
722,203.436,16,208,0.978058
723,203.594,14,208,0.978817
724,204.562,17,208,0.983471
725,204.181,18,208,0.981639
726,204.216,12,208,0.981808
727,204.906,15,208,0.985125
728,204.011,20,208,0.980822
729,204.819,18,208,0.984707
730,204.341,16,208,0.982409
731,204.119,22,208,0.981341
732,204.048,22,208,0.981
733,203.929,16,208,0.980428
734,204.296,15,208,0.982192
735,203.688,13,208,0.979269
736,204.326,16,208,0.982337
737,204.58,19,208,0.983558
738,203.921,16,208,0.980389
739,204.028,16,208,0.980904
740,205.288,16,208,0.986962
741,204.365,24,208,0.982524
742,204.281,16,208,0.98212
743,204.331,14,208,0.982361
744,204.862,15,208,0.984913
745,204.168,18,208,0.981577
746,204.712,128,208,0.984192
747,204.743,19,208,0.984341
748,204.604,24,208,0.983673
749,204.787,18,208,0.984553
750,204.87,15,208,0.984952
751,204.348,23,208,0.982442
752,204.056,22,208,0.981038
753,204.911,20,208,0.985149
754,204.627,27,208,0.983784
755,204.346,15,208,0.982433
756,204.845,16,208,0.984832
